ONIMI,OKOOD,MNIMI,MKOOD,Country,NUTS3,NUTS3Name,LAU1Code,LAU1Name,LAU2Code,LAU2Name,NatLAU2,NatLAU1,Pos,Total,Ratio,RatioCorr
Aegviidu vald,0112,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370112,Aegviidu vald,0112,0037,0,14,0,0
Anija vald,0140,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370140,Anija vald,0140,0037,5,132,0.0378787879,0.0378787879
Harku vald,0198,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370198,Harku vald,0198,0037,0,78,0,0
J§elõhtme vald,0245,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370245,J§elõhtme vald,0245,0037,0,0,0,-9999
Keila vald,0295,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370295,Keila vald,0295,0037,0,118,0,0
Keila linn,0296,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370296,Keila linn,0296,0037,0,0,0,-9999
Kernu vald,0297,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370297,Kernu vald,0297,0037,0,32,0,0
Kiili vald,0304,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370304,Kiili vald,0304,0037,0,0,0,-9999
Kose vald,0338,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370338,Kose vald,0338,0037,0,358,0,0
Kuusalu vald,0353,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370353,Kuusalu vald,0353,0037,0,40,0,0
Loksa linn,0424,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370424,Loksa linn,0424,0037,0,0,0,-9999
Maardu linn,0446,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370446,Maardu linn,0446,0037,0,0,0,-9999
Nissi vald,0518,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370518,Nissi vald,0518,0037,0,100,0,0
Padise vald,0562,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370562,Padise vald,0562,0037,0,42,0,0
Paldiski linn,0580,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370580,Paldiski linn,0580,0037,0,0,0,-9999
Raasiku vald,0651,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370651,Raasiku vald,0651,0037,0,4,0,0
Rae vald,0653,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370653,Rae vald,0653,0037,0,8,0,0
Saku vald,0718,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370718,Saku vald,0718,0037,0,0,0,-9999
Saue vald,0727,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370727,Saue vald,0727,0037,0,0,0,-9999
Saue linn,0728,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370728,Saue linn,0728,0037,0,0,0,-9999
Tallinn,0784,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370784,Tallinn,0784,0037,0,0,0,-9999
Vasalemma vald,0868,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370868,Vasalemma vald,0868,0037,0,4,0,0
Viimsi vald,0890,Harju maakond,0037,EE,EE001,P§hja-Eesti,EE0010037,Harju maakond,EE00100370890,Viimsi vald,0890,0037,0,0,0,-9999
Emmaste vald,0175,Hiiu maakond,0039,EE,EE004,Lõõne-Eesti,EE0040039,Hiiu maakond,EE00400390175,Emmaste vald,0175,0039,0,1,0,0
Hiiu vald,0204,Hiiu maakond,0039,EE,EE004,Lõõne-Eesti,EE0040039,Hiiu maakond,EE00400390204,Hiiu,0204,0039,0,0,0,-9999
Kõina vald,0368,Hiiu maakond,0039,EE,EE004,Lõõne-Eesti,EE0040039,Hiiu maakond,EE00400390368,Kaina vald,0368,0039,0,0,0,-9999
P³halepa vald,0639,Hiiu maakond,0039,EE,EE004,Lõõne-Eesti,EE0040039,Hiiu maakond,EE00400390639,P³halepa vald,0639,0039,0,0,0,-9999
Haapsalu linn,0183,Lõõne maakond,0057,EE,EE004,Lõõne-Eesti,EE0040057,Laane maakond,EE00400570183,Haapsalu linn,0183,0057,0,0,0,-9999
Hanila vald,0195,Lõõne maakond,0057,EE,EE004,Lõõne-Eesti,EE0040057,Laane maakond,EE00400570195,Hanila vald,0195,0057,0,38,0,0
Kullamaa vald,0342,Lõõne maakond,0057,EE,EE004,Lõõne-Eesti,EE0040057,Laane maakond,EE00400570342,Kullamaa vald,0342,0057,0,59,0,0
Lihula vald,0411,Lõõne maakond,0057,EE,EE004,Lõõne-Eesti,EE0040057,Laane maakond,EE00400570411,Lihula vald,0411,0057,0,8,0,0
Lõõne-Nigula vald,0436,Lõõne maakond,0057,EE,EE004,Lõõne-Eesti,EE0040057,Laane maakond,EE00400570436,Lõõne-Nigula,0436,0057,0,90,0,0
Martna vald,0452,Lõõne maakond,0057,EE,EE004,Lõõne-Eesti,EE0040057,Laane maakond,EE00400570452,Martna vald,0452,0057,0,110,0,0
Noarootsi vald,0520,Lõõne maakond,0057,EE,EE004,Lõõne-Eesti,EE0040057,Laane maakond,EE00400570520,Noarootsi vald,0520,0057,0,38,0,0
N§va vald,0531,Lõõne maakond,0057,EE,EE004,Lõõne-Eesti,EE0040057,Laane maakond,EE00400570531,N§va vald,0531,0057,0,24,0,0
Ridala vald,0674,Lõõne maakond,0057,EE,EE004,Lõõne-Eesti,EE0040057,Laane maakond,EE00400570674,Ridala vald,0674,0057,0,22,0,0
Vormsi vald,0907,Lõõne maakond,0057,EE,EE004,Lõõne-Eesti,EE0040057,Laane maakond,EE00400570907,Vormsi vald,0907,0057,0,55,0,0
Are vald,0149,Põrnu maakond,0067,EE,EE004,Lõõne-Eesti,EE0040067,Parnu maakond,EE00400670149,Are vald,0149,0067,0,6,0,0
Audru vald,0160,Põrnu maakond,0067,EE,EE004,Lõõne-Eesti,EE0040067,Parnu maakond,EE00400670160,Audru vald,0160,0067,0,58,0,0
Halinga vald,0188,Põrnu maakond,0067,EE,EE004,Lõõne-Eesti,EE0040067,Parnu maakond,EE00400670188,Halinga vald,0188,0067,0,36,0,0
Hõõdemeeste vald,0213,Põrnu maakond,0067,EE,EE004,Lõõne-Eesti,EE0040067,Parnu maakond,EE00400670213,Hõõdemeeste vald,0213,0067,4,109,0.0366972477,0.0366972477
Kihnu vald,0303,Põrnu maakond,0067,EE,EE004,Lõõne-Eesti,EE0040067,Parnu maakond,EE00400670303,Kihnu vald,0303,0067,0,0,0,-9999
Koonga vald,0334,Põrnu maakond,0067,EE,EE004,Lõõne-Eesti,EE0040067,Parnu maakond,EE00400670334,Koonga vald,0334,0067,0,122,0,0
Paikuse vald,0568,Põrnu maakond,0067,EE,EE004,Lõõne-Eesti,EE0040067,Parnu maakond,EE00400670568,Paikuse vald,0568,0067,0,10,0,0
Põrnu linn,0625,Põrnu maakond,0067,EE,EE004,Lõõne-Eesti,EE0040067,Parnu maakond,EE00400670625,Põrnu linn,0625,0067,0,0,0,-9999
Saarde vald,0710,Põrnu maakond,0067,EE,EE004,Lõõne-Eesti,EE0040067,Parnu maakond,EE00400670710,Saarde vald,0710,0067,10,267,0.0374531835,0.0374531835
Sauga vald,0730,Põrnu maakond,0067,EE,EE004,Lõõne-Eesti,EE0040067,Parnu maakond,EE00400670730,Sauga vald,0730,0067,0,0,0,-9999
Sindi linn,0741,Põrnu maakond,0067,EE,EE004,Lõõne-Eesti,EE0040067,Parnu maakond,EE00400670741,Sindi linn,0741,0067,0,0,0,-9999
Surju vald,0756,Põrnu maakond,0067,EE,EE004,Lõõne-Eesti,EE0040067,Parnu maakond,EE00400670756,Surju vald,0756,0067,5,81,0.0617283951,0.0617283951
Tootsi vald,0805,Põrnu maakond,0067,EE,EE004,Lõõne-Eesti,EE0040067,Parnu maakond,EE00400670805,Tootsi vald,0805,0067,0,0,0,-9999
Tori vald,0808,Põrnu maakond,0067,EE,EE004,Lõõne-Eesti,EE0040067,Parnu maakond,EE00400670808,Tori vald,0808,0067,0,22,0,0
T§stamaa vald,0826,Põrnu maakond,0067,EE,EE004,Lõõne-Eesti,EE0040067,Parnu maakond,EE00400670826,T§stamaa vald,0826,0067,0,28,0,0
Tahkuranna vald,0848,Põrnu maakond,0067,EE,EE004,Lõõne-Eesti,EE0040067,Parnu maakond,EE00400670848,Tahkuranna vald,0848,0067,0,10,0,0
Varbla vald,0863,Põrnu maakond,0067,EE,EE004,Lõõne-Eesti,EE0040067,Parnu maakond,EE00400670863,Varbla vald,0863,0067,0,34,0,0
Võndra vald,0929,Põrnu maakond,0067,EE,EE004,Lõõne-Eesti,EE0040067,Parnu maakond,EE00400670929,Võndra vald,0929,0067,7,170,0.0411764706,0.0411764706
Võndra vald (alev),0931,Põrnu maakond,0067,EE,EE004,Lõõne-Eesti,EE0040067,Parnu maakond,EE00400670931,Võndra vald (alev),0931,0067,0,0,0,-9999
Kihelkonna vald,0301,Saare maakond,0074,EE,EE004,Lõõne-Eesti,EE0040074,Saare maakond,EE00400740301,Kihelkonna vald,0301,0074,0,0,0,-9999
