"localOrgId","sampStrategy","progType","sampMethod","sampPoint","animalID","sampId","sampCountry","sampArea","sampLAU1","sampLAU2","sampY","sampM","sampD","sampMatType","sampMatCode","sampMatText","decomposition","age","sex","analysisY","analysisM","analysisD","anMatCode","labId","labCountry","paramCode","anMethCode","resId","resQualValue","resType","ADNSId","Output"
"Veterinary and Food Board","ST20A","K030A","N003A","E180A","EE1526673005","EE1566065","EE","EE006","EE0060059","EE00600590900",2015,12,31,"S000A","A056Y","hunted",1,"Young","F",2016,1,4,"A0CEY","EEhead","EE","RF-00002657-MCG","F086A","EE3306536","NEG","BIN","","Err:508"
"Veterinary and Food Board","ST20A","K030A","N003A","E180A","EE1526680001","EE1566097","EE","EE004","EE0040067","EE00400670213",2015,12,31,"S000A","A056Y","hunted",1,"Young","M",2016,1,4,"A0CEY","EEhead","EE","RF-00002657-MCG","F086A","EE3306637","NEG","BIN","","Err:508"
"Veterinary and Food Board","ST20A","K030A","N003A","E180A","EE1526683001","EE1566100","EE","EE004","EE0040067","EE00400670334",2015,12,31,"S000A","A056Y","hunted",1,"Adult","F",2016,1,4,"A0CEY","EEhead","EE","RF-00002657-MCG","F086A","EE3306647","NEG","BIN","","Err:508"
"Veterinary and Food Board","ST20A","K030A","N003A","E180A","EE1526704001","EE1566155","EE","EE008","EE0080078","EE00800780454",2015,12,31,"S000A","A056Y","hunted",1,"Young","F",2016,1,4,"A0CEY","EEhead","EE","RF-00002657-MCG","F080A","EE3306749","NEG","BIN","","Err:508"
"Veterinary and Food Board","ST20A","K030A","N003A","E180A","EE1526705001","EE1566156","EE","EE008","EE0080078","EE00800780454",2015,12,31,"S000A","A056Y","hunted",1,"Young","F",2016,1,4,"A0CEY","EEhead","EE","RF-00002657-MCG","F080A","EE3306752","NEG","BIN","","Err:508"
"Veterinary and Food Board","ST20A","K030A","N003A","E180A","EE1526710001","EE1566175","EE","EE008","EE0080078","EE00800780587",2015,12,31,"S000A","A056Y","hunted",1,"Adult","M",2016,1,4,"A0CEY","EEhead","EE","RF-00002657-MCG","F080A","EE3306834","NEG","BIN","","Err:508"
"Veterinary and Food Board","ST20A","K030A","N003A","E180A","EE1600001001","EE1566178","EE","EE008","EE0080049","EE00800490248",2016,1,4,"S000A","A056Y","hunted",1,"Adult","F",2016,1,4,"A0CEY","EEhead","EE","RF-00002657-MCG","F080A","EE3306840","NEG","BIN","","Err:508"
"Veterinary and Food Board","ST20A","K030A","N003A","E180A","EE1600015001","EE1566193","EE","EE008","EE0080049","EE00800490248",2015,12,31,"S000A","A056Y","hunted",1,"Young","U",2016,1,4,"A0CEY","EEhead","EE","RF-00002657-MCG","F080A","EE3306857","NEG","BIN","","Err:508"
"Veterinary and Food Board","ST20A","K030A","N003A","E180A","EE1600017001","EE1566195","EE","EE008","EE0080065","EE00800650473",2016,1,2,"S000A","A056Y","hunted",1,"Adult","F",2016,1,4,"A0CEY","EEhead","EE","RF-00002657-MCG","F080A","EE3306861","NEG","BIN","","Err:508"
"Veterinary and Food Board","ST20A","K030A","N003A","E180A","EE1600018001","EE1566196","EE","EE008","EE0080065","EE00800650473",2016,1,2,"S000A","A056Y","hunted",1,"Adult","M",2016,1,4,"A0CEY","EEhead","EE","RF-00002657-MCG","F080A","EE3306864","NEG","BIN","","Err:508"
"Veterinary and Food Board","ST20A","K030A","N003A","E180A","EE1600019001","EE1566197","EE","EE008","EE0080065","EE00800650117",2016,1,2,"S000A","A056Y","hunted",1,"Adult","F",2016,1,4,"A0CEY","EEhead","EE","RF-00002657-MCG","F080A","EE3306867","NEG","BIN","","Err:508"
